Particulars,Category,Subcategory,matched_term,match_score
Haridasan Final Settlement,SALARY ADVANCES & SETTLEMENTS,final settlement,final settlement,0.92
amount taken for salary,SALARY ADVANCES & SETTLEMENTS,amount taken for salary,amount taken for salary,1.0
pashupathi sal advance,SALARY ADVANCES & SETTLEMENTS,salary advance,salary advance,0.6111
shatru sal advance,SALARY ADVANCES & SETTLEMENTS,salary advance,salary advance,0.6875
2 kitchen staff medical lab testing charges,STAFF WELFARE & BENEFITS,medical lab testing,medical lab testing,0.92
Gafoor party fund,STAFF WELFARE & BENEFITS,staff party,staff party,0.5714
Health card Form,STAFF WELFARE & BENEFITS,health card form,health card form,1.0
Kitchen staff uniform stitching,STAFF WELFARE & BENEFITS,staff uniform,staff uniform,0.92
"Looco,s ottapalam T Shirts",STAFF WELFARE & BENEFITS,uniform t shirts,uniform t shirts,0.6
New T-Shirt,STAFF WELFARE & BENEFITS,uniform t shirts,uniform t shirts,0.6667
Onam Bonus,STAFF WELFARE & BENEFITS,onam bonus,onam bonus,1.0
Staff Bonus,STAFF WELFARE & BENEFITS,staff bonus,staff bonus,1.0
Staff Food,STAFF WELFARE & BENEFITS,staff food,staff food,1.0
Staff Party,STAFF WELFARE & BENEFITS,staff party,staff party,1.0
Staff Photo,STAFF WELFARE & BENEFITS,staff food,staff food,0.7619
Stitching Charges,STAFF WELFARE & BENEFITS,uniform stitching charges,uniform stitching charges,0.92
Uniform T shirts,STAFF WELFARE & BENEFITS,uniform t shirts,uniform t shirts,1.0
Uniform shirts,STAFF WELFARE & BENEFITS,uniform shirts,uniform shirts,1.0
health Card & Testing,STAFF WELFARE & BENEFITS,health card,health card,0.92
health card expenses 3 staff,STAFF WELFARE & BENEFITS,health card,health card,0.92
kitchen staff bonus,STAFF WELFARE & BENEFITS,kitchen staff bonus,kitchen staff bonus,1.0
kitchen staff health checkup,STAFF WELFARE & BENEFITS,kitchen staff health checkup,kitchen staff health checkup,1.0
kitchen staff medical checkup 2staff,STAFF WELFARE & BENEFITS,kitchen staff health checkup,kitchen staff health checkup,0.7812
kitchen staff party,STAFF WELFARE & BENEFITS,kitchen staff party,kitchen staff party,1.0
kitchen staff party (Manoj),STAFF WELFARE & BENEFITS,staff party,staff party,0.92
kitchen staff typhoid vaccination and health card expenses,STAFF WELFARE & BENEFITS,health card,health card,0.92
kitchen staff uniform 4 pc,STAFF WELFARE & BENEFITS,staff uniform,staff uniform,0.92
medical card for shatru & radhakrishnan,STAFF WELFARE & BENEFITS,medical card charges,medical card charges,0.9
rakesh kitchen staff from otp adv,STAFF WELFARE & BENEFITS,kitchen staff party,kitchen staff party,0.6154
shatru medical expenses,STAFF WELFARE & BENEFITS,medical expenses,medical expenses,0.92
shibil accident expenses,STAFF WELFARE & BENEFITS,medical expenses,medical expenses,0.55
staff food expense,STAFF WELFARE & BENEFITS,staff food,staff food,0.92
staff night food expenses,STAFF WELFARE & BENEFITS,staff night food,staff night food,0.92
staff uniform,STAFF WELFARE & BENEFITS,staff uniform,staff uniform,1.0
uniform charges,STAFF WELFARE & BENEFITS,uniform shirts,uniform shirts,0.9
Bus Transportation,TRANSPORTATION & AUTO CHARGES,bus transportation,bus transportation,1.0
Notice Transportation,TRANSPORTATION & AUTO CHARGES,transportation charge,transportation charge,0.9
Table transpoting charges,TRANSPORTATION & AUTO CHARGES,table transporting charges,table transporting charges,0.9804
Transportation Charge,TRANSPORTATION & AUTO CHARGES,transportation charge,transportation charge,1.0
Transportation Charge (OTP),TRANSPORTATION & AUTO CHARGES,transportation charge,transportation charge,0.92
Transportation Charge (OTP)kheema masala,TRANSPORTATION & AUTO CHARGES,transportation charge,transportation charge,0.92
Transportation Charge GOODS FROM OTP,TRANSPORTATION & AUTO CHARGES,transportation charge,transportation charge,0.92
Transportation Charge PASSION PRO,TRANSPORTATION & AUTO CHARGES,transportation charge,transportation charge,0.92
Transportation Charge eng veg,TRANSPORTATION & AUTO CHARGES,transportation charge,transportation charge,0.92
Transportation Charge isha veg,TRANSPORTATION & AUTO CHARGES,transportation charge,transportation charge,0.92
Transportation charge ( Freezer),TRANSPORTATION & AUTO CHARGES,transportation charge,transportation charge,0.92
Transportation charges Sathru,TRANSPORTATION & AUTO CHARGES,transportation charge,transportation charge,0.92
Twister Maintanance (parts & Transportation),TRANSPORTATION & AUTO CHARGES,transportation charge,transportation charge,0.9
auto charge,TRANSPORTATION & AUTO CHARGES,auto charge,auto charge,1.0
auto charge cpy-pgt-cpy generator,TRANSPORTATION & AUTO CHARGES,auto charge,auto charge,0.92
auto charge goods from otp,TRANSPORTATION & AUTO CHARGES,auto charge,auto charge,0.92
auto charge koonathil goods,TRANSPORTATION & AUTO CHARGES,auto charge,auto charge,0.92
auto fare cpy- otp-cpy,TRANSPORTATION & AUTO CHARGES,auto charge,auto charge,0.9
auto fare generator palakkad,TRANSPORTATION & AUTO CHARGES,auto charge,auto charge,0.9
chef bus charge ottappalam,TRANSPORTATION & AUTO CHARGES,chef bus fare,chef bus fare,0.6154
dough machine transportation,TRANSPORTATION & AUTO CHARGES,transportation charge,transportation charge,0.9
goods transport OTP and dough machine,TRANSPORTATION & AUTO CHARGES,goods transport,goods transport,0.92
oil drum and transport,TRANSPORTATION & AUTO CHARGES,goods transport,goods transport,0.6486
rikshaw fare  goods from OTP,TRANSPORTATION & AUTO CHARGES,rikshaw fare,rikshaw fare,0.92
rikshaw fare cpy- pkd- cpy,TRANSPORTATION & AUTO CHARGES,rikshaw fare,rikshaw fare,0.92
staff bus fare,TRANSPORTATION & AUTO CHARGES,staff bus fare,staff bus fare,1.0
20 ltr water,UNMAPPED,UNMAPPED,,0.45
20 ltr water with deposit,UNMAPPED,UNMAPPED,,0.4865
7up 750ml pet 1case,UNMAPPED,UNMAPPED,,0.45
8 channel fiber SMPS,UNMAPPED,UNMAPPED,,0.4375
A3 print,UNMAPPED,UNMAPPED,,0.45
ABAD fishries,UNMAPPED,UNMAPPED,,0.45
Arjun refund vishu,UNMAPPED,UNMAPPED,,0.4667
Berryfresh,UNMAPPED,UNMAPPED,,0.4375
Bill Cancellation,UNMAPPED,UNMAPPED,,0.45
Burgar tawa,UNMAPPED,UNMAPPED,,0.45
CA Charges,UNMAPPED,UNMAPPED,,0.45
Drinking Water (20 ltr),UNMAPPED,UNMAPPED,,0.45
Essar Associates,UNMAPPED,UNMAPPED,,0.45
Greengrass,UNMAPPED,UNMAPPED,,0.45
Icecream,UNMAPPED,UNMAPPED,,0.45
Icecream Box,UNMAPPED,UNMAPPED,,0.45
Ishanys Accounting Charges,UNMAPPED,UNMAPPED,,0.45
Koonathil Traders,UNMAPPED,UNMAPPED,,0.45
Lakhyam Foods Masala,UNMAPPED,UNMAPPED,,0.45
Lakshyam Foods,UNMAPPED,UNMAPPED,,0.45
Lakshyam Foods - Masala,UNMAPPED,UNMAPPED,,0.45
"Looco,s ottapalam notice",UNMAPPED,UNMAPPED,,0.45
"Looco,s pattambi",UNMAPPED,UNMAPPED,,0.45
Maintnence Plumbing,UNMAPPED,UNMAPPED,,0.45
Mask,UNMAPPED,UNMAPPED,,0.45
Medicine,UNMAPPED,UNMAPPED,,0.45
Music system cable,UNMAPPED,UNMAPPED,,0.4571
Narayana Traders,UNMAPPED,UNMAPPED,,0.45
New File,UNMAPPED,UNMAPPED,,0.45
Pa pro KL 51 D 2637 insurance,UNMAPPED,UNMAPPED,,0.5
Paint primer,UNMAPPED,UNMAPPED,,0.45
Photo copy,UNMAPPED,UNMAPPED,,0.45
Plates and tray,UNMAPPED,UNMAPPED,,0.45
Sathrujen,UNMAPPED,UNMAPPED,,0.45
Screw driver,UNMAPPED,UNMAPPED,,0.45
Shabeer,UNMAPPED,UNMAPPED,,0.45
TDSmeter Flipkart,UNMAPPED,UNMAPPED,,0.45
Taha Enterprises,UNMAPPED,UNMAPPED,,0.45
United Trading Academy,UNMAPPED,UNMAPPED,,0.45
Vegitable,UNMAPPED,UNMAPPED,,0.45
Vegitable  Hisham,UNMAPPED,UNMAPPED,,0.45
Vegitables Pattambi,UNMAPPED,UNMAPPED,,0.45
accelarator cable pa pro,UNMAPPED,UNMAPPED,,0.4848
athul Govind,UNMAPPED,UNMAPPED,,0.45
bed 3 pc staffroom,UNMAPPED,UNMAPPED,,0.45
bright electricals,UNMAPPED,UNMAPPED,,0.45
cap 5,UNMAPPED,UNMAPPED,,0.4286
curtian work amount reimbursed to Arjun,UNMAPPED,UNMAPPED,,0.45
dicover polution,UNMAPPED,UNMAPPED,,0.45
egitables,UNMAPPED,UNMAPPED,,0.45
electric wire 10mtr,UNMAPPED,UNMAPPED,,0.5116
electrician,UNMAPPED,UNMAPPED,,0.45
electrician pepsi fridge plug work,UNMAPPED,UNMAPPED,,0.5
extension board and tester,UNMAPPED,UNMAPPED,,0.48
fork n spoon,UNMAPPED,UNMAPPED,,0.45
high stool welding charges,UNMAPPED,UNMAPPED,,0.5128
hisham,UNMAPPED,UNMAPPED,,0.4444
hungritos french fry 3 box,UNMAPPED,UNMAPPED,,0.4737
isolator E Breaker,UNMAPPED,UNMAPPED,,0.45
key board,UNMAPPED,UNMAPPED,,0.45
lader fund,UNMAPPED,UNMAPPED,,0.45
lock and key 2pc,UNMAPPED,UNMAPPED,,0.4828
mocktail ice breaker spoon,UNMAPPED,UNMAPPED,,0.45
mosquito bat,UNMAPPED,UNMAPPED,,0.45
news paper agent 2500pc flyer distribution,UNMAPPED,UNMAPPED,,0.5085
next traders(mojito),UNMAPPED,UNMAPPED,,0.45
painting meterials/LED fittings/whatsapp marketing,UNMAPPED,UNMAPPED,,0.45
pepsi 250ml pet,UNMAPPED,UNMAPPED,,0.45
pepsi essar associates,UNMAPPED,UNMAPPED,,0.4348
pizza pan transport PTB and MKD,UNMAPPED,UNMAPPED,,0.4889
project work - Green wall,UNMAPPED,UNMAPPED,,0.4815
puthanalkal temple festival,UNMAPPED,UNMAPPED,,0.45
raw papaya,UNMAPPED,UNMAPPED,,0.45
restaurant table work,UNMAPPED,UNMAPPED,,0.4615
shihab,UNMAPPED,UNMAPPED,,0.45
shop licence application submitting expenses,UNMAPPED,UNMAPPED,,0.45
sign board revet fixing charges,UNMAPPED,UNMAPPED,,0.5091
technician deepfreezer,UNMAPPED,UNMAPPED,,0.48
tester,UNMAPPED,UNMAPPED,,0.45
tomato hibrid,UNMAPPED,UNMAPPED,,0.4615
transport charge 3pc staff kattil,UNMAPPED,UNMAPPED,,0.5
transport charge eng veg,UNMAPPED,UNMAPPED,,0.4737
vanilla icecream,UNMAPPED,UNMAPPED,,0.45
vegetable 3day,UNMAPPED,UNMAPPED,,0.45
vegitable chy,UNMAPPED,UNMAPPED,,0.45
vyapari vyavasayi ekopana samithi,UNMAPPED,UNMAPPED,,0.4082
wall hooks 6pc flipkart,UNMAPPED,UNMAPPED,,0.45
wash basin water tap,UNMAPPED,UNMAPPED,,0.45
wash basin water tap 2 feet connector pipe out side,UNMAPPED,UNMAPPED,,0.45
wash basin water tap outside,UNMAPPED,UNMAPPED,,0.45
water 20 ltr with deposit,UNMAPPED,UNMAPPED,,0.4865
wiping towel 4 pc flipkart,UNMAPPED,UNMAPPED,,0.45
